Project_ID,Project_Name,Region,Project_Type,Phase,Status,Department,Contractor,Start_Date,End_Date,Month_Name,Month_Number,Budget,Cost,Safety_Incidents,Issue_Resolution_Time_Days
P0213,Project_213,West,Industrial,Construction,Completed,Safety,BuildCorp,2025-04-05,2025-07-09,April,4,1201293,1157158,3,1
P0214,Project_214,East,Commercial,Design,In Progress,Safety,PrimeBuild,2025-06-04,2025-12-30,June,6,1715994,1802663,4,11
P0215,Project_215,East,Industrial,Design,Completed,Procurement,BuildCorp,2025-08-27,2026-01-12,August,8,534950,530614,8,15
P0216,Project_216,East,Industrial,Design,Pending,Safety,PrimeBuild,2025-11-11,2026-03-07,November,11,659545,781611,7,3
P0217,Project_217,West,Industrial,Finishing,In Progress,Safety,BlueRock,2025-08-30,2026-05-10,August,8,1327256,1500726,3,13
P0218,Project_218,South,Industrial,Finishing,Completed,Procurement,Titan Builders,2025-09-28,2026-05-26,September,9,958717,841116,1,1
P0219,Project_219,South,Industrial,Finishing,Completed,Engineering,PrimeBuild,2025-09-24,2026-03-16,September,9,443772,482869,7,2
P0220,Project_220,West,Residential,Construction,Completed,Procurement,Skyline Co,2025-08-22,2026-03-14,August,8,321082,335716,4,12
P0221,Project_221,North,Commercial,Construction,Completed,Procurement,SafeBuild,2025-10-24,2026-01-10,October,10,294979,294475,1,9
P0222,Project_222,North,Residential,Construction,Completed,Safety,Skyline Co,2025-04-03,2025-12-15,April,4,484014,541146,6,6
P0223,Project_223,West,Commercial,Construction,In Progress,Engineering,BlueRock,2025-03-10,2025-10-23,March,3,929326,828514,8,7
P0224,Project_224,South,Industrial,Design,Completed,Engineering,MegaConstruct,2025-08-26,2026-04-15,August,8,1708049,1777320,8,7
P0225,Project_225,South,Residential,Construction,In Progress,Engineering,MegaConstruct,2025-04-07,2026-01-31,April,4,1720485,1923367,0,13
P0226,Project_226,West,Industrial,Design,Completed,Engineering,BuildCorp,2025-02-21,2025-09-21,February,2,270414,272105,0,4
P0227,Project_227,North,Commercial,Construction,Completed,Procurement,SafeBuild,2025-01-29,2025-05-04,January,1,1256746,1505228,3,14
P0228,Project_228,East,Industrial,Finishing,Pending,Safety,SafeBuild,2025-06-04,2026-03-15,June,6,500438,598020,8,4
P0229,Project_229,West,Commercial,Construction,Completed,Procurement,NextGen Infra,2025-03-31,2025-11-06,March,3,1623442,1622663,7,1
P0230,Project_230,East,Industrial,Finishing,In Progress,Procurement,PrimeBuild,2025-12-23,2026-06-07,December,12,1056181,952914,6,3
P0231,Project_231,West,Residential,Design,In Progress,Procurement,UrbanCon,2025-08-26,2026-06-16,August,8,320846,335872,6,9
P0232,Project_232,South,Commercial,Design,In Progress,Engineering,PrimeBuild,2025-11-28,2026-02-16,November,11,1143271,1310756,1,9
P0233,Project_233,South,Residential,Construction,In Progress,Procurement,NextGen Infra,2025-11-05,2026-01-14,November,11,352639,322966,8,4
P0234,Project_234,West,Residential,Construction,In Progress,Engineering,SafeBuild,2025-04-08,2025-12-13,April,4,446029,495720,7,15
P0235,Project_235,South,Industrial,Finishing,Pending,Engineering,Skyline Co,2025-05-03,2025-11-20,May,5,874475,980662,6,8
P0236,Project_236,East,Commercial,Construction,In Progress,Procurement,Titan Builders,2025-08-27,2025-11-20,August,8,1883628,2248037,7,13
P0237,Project_237,East,Residential,Construction,In Progress,Safety,ABC Ltd,2025-10-16,2026-07-24,October,10,664045,736716,0,5
P0238,Project_238,West,Commercial,Design,Completed,Safety,SafeBuild,2025-07-14,2026-02-04,July,7,1947688,1823046,8,11
P0239,Project_239,East,Commercial,Construction,Pending,Procurement,Titan Builders,2025-08-24,2025-12-05,August,8,1736734,1959455,2,3
P0240,Project_240,West,Residential,Finishing,Pending,Engineering,BlueRock,2025-01-18,2025-10-19,January,1,1975653,1730702,0,13
P0241,Project_241,North,Commercial,Design,Pending,Engineering,BuildCorp,2025-12-29,2026-04-06,December,12,219171,203073,7,6
P0242,Project_242,North,Industrial,Finishing,Pending,Procurement,Titan Builders,2025-12-04,2026-06-06,December,12,232991,198581,8,7
P0243,Project_243,North,Residential,Finishing,Pending,Safety,BlueRock,2025-05-27,2025-07-30,May,5,1253223,1421913,6,13
P0244,Project_244,South,Residential,Design,Pending,Engineering,SafeBuild,2025-04-09,2025-11-13,April,4,1304058,1223658,5,5
P0245,Project_245,West,Residential,Construction,In Progress,Safety,NextGen Infra,2025-05-05,2025-12-29,May,5,673656,643335,1,11
P0246,Project_246,North,Residential,Construction,In Progress,Safety,BlueRock,2025-09-01,2025-11-14,September,9,1535357,1310131,2,2
P0247,Project_247,West,Commercial,Finishing,In Progress,Procurement,BuildCorp,2025-09-28,2026-07-20,September,9,289237,269111,7,5
P0248,Project_248,North,Residential,Finishing,In Progress,Procurement,NextGen Infra,2025-12-03,2026-02-09,December,12,576133,676995,5,1
P0249,Project_249,South,Industrial,Design,Pending,Safety,BuildCorp,2025-06-03,2025-09-12,June,6,1382706,1291675,6,11
P0250,Project_250,East,Commercial,Finishing,Completed,Procurement,BuildCorp,2025-09-14,2026-05-22,September,9,925319,803911,6,4
P0251,Project_251,North,Commercial,Finishing,Pending,Procurement,Skyline Co,2025-06-17,2025-08-23,June,6,1529852,1446726,7,8
P0252,Project_252,South,Commercial,Finishing,In Progress,Safety,UrbanCon,2025-12-15,2026-07-12,December,12,1585529,1558615,4,13
P0253,Project_253,South,Industrial,Design,Completed,Safety,UrbanCon,2025-07-14,2026-03-13,July,7,1843937,1976452,6,6
P0254,Project_254,East,Residential,Design,Completed,Safety,Titan Builders,2025-07-04,2026-03-15,July,7,765741,678278,1,3
P0255,Project_255,West,Commercial,Finishing,Pending,Procurement,Skyline Co,2025-02-22,2025-04-29,February,2,387944,377807,1,10
P0256,Project_256,East,Commercial,Design,In Progress,Safety,Skyline Co,2025-02-13,2025-10-16,February,2,1373433,1602552,3,10
P0257,Project_257,South,Industrial,Construction,Completed,Engineering,MegaConstruct,2025-06-04,2025-10-10,June,6,1234155,1112068,2,7
P0258,Project_258,East,Commercial,Construction,In Progress,Engineering,PrimeBuild,2025-05-09,2025-09-09,May,5,1711835,1829543,3,8
P0259,Project_259,North,Residential,Construction,Completed,Safety,PrimeBuild,2025-11-14,2026-04-20,November,11,1886270,2172548,7,6
P0260,Project_260,West,Industrial,Finishing,Completed,Safety,PrimeBuild,2025-11-05,2026-06-30,November,11,621216,632182,2,7
P0261,Project_261,East,Commercial,Finishing,Pending,Procurement,Titan Builders,2025-10-22,2026-07-09,October,10,708400,682940,4,14
P0262,Project_262,West,Commercial,Design,Pending,Engineering,NextGen Infra,2025-10-07,2026-01-21,October,10,1629655,1823040,0,12
P0263,Project_263,West,Industrial,Design,In Progress,Safety,BuildCorp,2025-07-29,2026-03-18,July,7,1247114,1120797,4,4
P0264,Project_264,East,Industrial,Design,Pending,Safety,Skyline Co,2025-02-07,2025-07-31,February,2,1453958,1479739,6,9
P0265,Project_265,West,Industrial,Design,In Progress,Procurement,BlueRock,2025-11-01,2026-06-12,November,11,378220,335964,3,11
P0266,Project_266,East,Residential,Finishing,Pending,Engineering,NextGen Infra,2025-11-27,2026-07-18,November,11,1556319,1540547,5,13
P0267,Project_267,West,Residential,Design,Completed,Safety,SafeBuild,2025-09-19,2026-05-28,September,9,1287997,1346340,3,8
P0268,Project_268,East,Commercial,Construction,Pending,Procurement,BlueRock,2025-03-19,2025-08-14,March,3,251511,256282,4,7
P0269,Project_269,North,Residential,Finishing,Completed,Safety,MegaConstruct,2025-06-25,2025-12-18,June,6,1844733,1701588,7,6
P0270,Project_270,West,Residential,Construction,Pending,Procurement,Titan Builders,2025-06-13,2025-08-29,June,6,829699,718219,1,1
P0271,Project_271,East,Industrial,Design,Pending,Engineering,SafeBuild,2025-09-22,2026-01-04,September,9,1357439,1229904,8,7
P0272,Project_272,West,Residential,Construction,Pending,Engineering,UrbanCon,2025-11-24,2026-07-10,November,11,1106251,1093478,3,8
P0273,Project_273,West,Commercial,Design,Pending,Engineering,SafeBuild,2025-05-23,2026-01-30,May,5,1675891,1898877,1,10
P0274,Project_274,North,Industrial,Design,In Progress,Safety,SafeBuild,2025-08-23,2025-11-20,August,8,750194,813769,7,9
P0275,Project_275,East,Industrial,Construction,Pending,Safety,NextGen Infra,2025-02-28,2025-07-27,February,2,938165,1075072,2,14
P0276,Project_276,East,Industrial,Finishing,Completed,Procurement,UrbanCon,2025-06-10,2025-09-08,June,6,700323,670127,2,6
P0277,Project_277,South,Industrial,Construction,In Progress,Procurement,UrbanCon,2025-10-22,2026-03-29,October,10,1087176,994781,8,12
P0278,Project_278,South,Industrial,Design,In Progress,Safety,UrbanCon,2025-04-06,2025-08-24,April,4,1965770,1981201,0,14
P0279,Project_279,East,Residential,Construction,Completed,Engineering,Skyline Co,2025-10-15,2026-04-22,October,10,1569586,1606062,7,7
P0280,Project_280,West,Commercial,Design,Completed,Procurement,ABC Ltd,2025-04-23,2025-09-04,April,4,268566,254116,8,5
P0281,Project_281,South,Commercial,Finishing,Pending,Safety,BlueRock,2025-09-19,2025-12-16,September,9,1401068,1246911,8,14
P0282,Project_282,East,Industrial,Design,Pending,Safety,BlueRock,2025-04-22,2025-10-07,April,4,414782,459410,3,5
P0283,Project_283,North,Commercial,Construction,In Progress,Engineering,Titan Builders,2025-03-02,2025-11-15,March,3,1902654,1775045,5,14
P0284,Project_284,West,Residential,Finishing,Completed,Engineering,SafeBuild,2025-01-31,2025-08-24,January,1,935713,969677,8,3
P0285,Project_285,East,Industrial,Construction,In Progress,Procurement,MegaConstruct,2025-09-21,2026-07-08,September,9,1624593,1844422,2,13
P0286,Project_286,West,Residential,Construction,Pending,Engineering,UrbanCon,2025-05-08,2025-08-13,May,5,1691903,1628852,3,13
P0287,Project_287,West,Commercial,Design,Pending,Procurement,MegaConstruct,2025-11-18,2026-05-03,November,11,986793,994881,1,7
P0288,Project_288,East,Industrial,Construction,In Progress,Safety,PrimeBuild,2025-10-25,2025-12-24,October,10,1823479,2090634,1,12
P0289,Project_289,West,Industrial,Finishing,Pending,Safety,BuildCorp,2025-10-01,2026-03-11,October,10,656822,780859,3,8
P0290,Project_290,East,Commercial,Construction,In Progress,Procurement,NextGen Infra,2025-03-08,2025-09-28,March,3,1987659,2027150,5,15
P0291,Project_291,North,Residential,Design,Pending,Safety,ABC Ltd,2025-03-05,2025-12-27,March,3,1998625,1809343,7,1
P0292,Project_292,West,Residential,Finishing,Completed,Procurement,MegaConstruct,2025-03-23,2025-12-31,March,3,774660,683768,5,5
P0293,Project_293,North,Commercial,Finishing,Pending,Engineering,ABC Ltd,2025-07-22,2026-02-27,July,7,840699,928212,3,7
P0294,Project_294,North,Industrial,Design,Completed,Engineering,Titan Builders,2025-02-09,2025-05-13,February,2,1445036,1342679,7,1
P0295,Project_295,North,Industrial,Construction,Completed,Safety,UrbanCon,2025-09-02,2025-11-19,September,9,680136,669304,1,2
P0296,Project_296,East,Commercial,Construction,Completed,Safety,UrbanCon,2025-11-25,2026-07-16,November,11,499584,436608,0,10
P0297,Project_297,South,Commercial,Construction,Pending,Engineering,UrbanCon,2025-07-30,2026-03-04,July,7,1639833,1647760,3,2
P0298,Project_298,North,Residential,Design,Pending,Procurement,Skyline Co,2025-06-29,2025-12-15,June,6,859561,968619,3,5
P0299,Project_299,North,Residential,Finishing,Pending,Procurement,NextGen Infra,2025-05-26,2026-02-09,May,5,1648033,1416300,4,4
P0300,Project_300,South,Industrial,Construction,In Progress,Procurement,ABC Ltd,2025-05-03,2025-11-05,May,5,1009260,897696,7,11
P0301,Project_301,North,Industrial,Design,In Progress,Safety,UrbanCon,2025-07-18,2026-04-24,July,7,1959454,2055336,5,9
P0302,Project_302,South,Commercial,Design,Completed,Procurement,BuildCorp,2025-01-08,2025-05-15,January,1,652445,563672,0,13
P0303,Project_303,West,Industrial,Construction,Pending,Procurement,BlueRock,2025-08-01,2026-01-16,August,8,1671803,1656417,8,9
P0304,Project_304,South,Commercial,Design,In Progress,Engineering,BlueRock,2025-04-15,2026-01-06,April,4,525849,545692,6,10
P0305,Project_305,North,Commercial,Finishing,In Progress,Procurement,SafeBuild,2025-01-30,2025-06-01,January,1,380801,446915,1,8
P0306,Project_306,North,Commercial,Finishing,Pending,Procurement,UrbanCon,2025-03-03,2025-05-05,March,3,1684575,1512788,0,3
P0307,Project_307,West,Commercial,Finishing,Pending,Procurement,MegaConstruct,2025-03-27,2025-08-29,March,3,466192,518602,4,12
P0308,Project_308,North,Residential,Construction,In Progress,Safety,BlueRock,2025-02-02,2025-06-09,February,2,1693850,2017828,1,8
P0309,Project_309,West,Industrial,Construction,Completed,Safety,NextGen Infra,2025-03-27,2025-08-28,March,3,529902,497731,1,15
P0310,Project_310,North,Residential,Finishing,Pending,Engineering,ABC Ltd,2025-01-07,2025-05-09,January,1,296430,300911,6,15
P0311,Project_311,South,Residential,Design,Pending,Procurement,Skyline Co,2025-04-25,2025-09-14,April,4,720645,717538,5,5
P0312,Project_312,North,Industrial,Construction,Completed,Procurement,ABC Ltd,2025-04-02,2025-07-28,April,4,1886819,1944406,0,7
P0313,Project_313,North,Commercial,Construction,In Progress,Safety,BuildCorp,2025-10-11,2026-04-05,October,10,216712,212187,4,10
P0314,Project_314,East,Industrial,Finishing,Completed,Safety,PrimeBuild,2025-10-30,2026-05-04,October,10,1820287,2041561,8,13
P0315,Project_315,South,Residential,Design,In Progress,Engineering,SafeBuild,2025-10-05,2026-03-02,October,10,1533666,1754285,0,6
P0316,Project_316,North,Industrial,Construction,Pending,Procurement,MegaConstruct,2025-02-23,2025-06-15,February,2,1311101,1565573,6,8
P0317,Project_317,North,Residential,Finishing,In Progress,Engineering,ABC Ltd,2025-04-29,2026-02-12,April,4,1973150,2036124,5,8
P0318,Project_318,North,Industrial,Design,Pending,Engineering,Skyline Co,2025-02-08,2025-09-07,February,2,1390806,1212503,2,4
P0319,Project_319,East,Commercial,Construction,In Progress,Procurement,PrimeBuild,2025-06-12,2025-12-04,June,6,770332,717767,3,3
P0320,Project_320,North,Residential,Design,Completed,Safety,Titan Builders,2025-06-10,2025-11-21,June,6,453203,470231,3,8
P0321,Project_321,East,Commercial,Construction,Completed,Engineering,UrbanCon,2025-12-18,2026-05-04,December,12,1933058,2119881,0,4
P0322,Project_322,East,Residential,Design,Pending,Engineering,PrimeBuild,2025-07-22,2026-01-29,July,7,302656,328991,4,14
P0323,Project_323,South,Residential,Construction,In Progress,Procurement,BlueRock,2025-05-08,2025-07-31,May,5,1168974,1035322,2,2
P0324,Project_324,North,Residential,Design,Completed,Engineering,Skyline Co,2025-07-10,2026-03-02,July,7,1521829,1792944,1,10
P0325,Project_325,East,Residential,Design,Completed,Engineering,Titan Builders,2025-03-07,2025-05-29,March,3,1976865,2254169,5,2
P0326,Project_326,North,Commercial,Design,Completed,Procurement,Skyline Co,2025-07-22,2026-01-25,July,7,261828,257627,6,3
P0327,Project_327,East,Residential,Design,In Progress,Safety,Titan Builders,2025-03-18,2025-05-25,March,3,1487874,1587132,3,11
P0328,Project_328,East,Commercial,Construction,Pending,Safety,ABC Ltd,2025-02-14,2025-06-25,February,2,1003241,900943,3,11
P0329,Project_329,South,Industrial,Finishing,Completed,Safety,PrimeBuild,2025-09-03,2026-03-21,September,9,1838788,1874897,8,6
P0330,Project_330,West,Commercial,Design,Completed,Safety,NextGen Infra,2025-04-23,2025-06-29,April,4,1900138,2132882,0,13
P0331,Project_331,West,Industrial,Construction,Pending,Engineering,UrbanCon,2025-02-21,2025-06-24,February,2,1577544,1474062,8,14
P0332,Project_332,North,Residential,Finishing,In Progress,Safety,UrbanCon,2025-04-01,2025-07-30,April,4,1442603,1386776,5,15
P0333,Project_333,North,Industrial,Finishing,In Progress,Procurement,NextGen Infra,2025-03-14,2025-10-04,March,3,594754,679710,7,9
P0334,Project_334,East,Residential,Construction,Completed,Engineering,ABC Ltd,2025-04-30,2025-11-30,April,4,658875,564639,7,1
P0335,Project_335,East,Industrial,Design,Completed,Safety,UrbanCon,2025-06-15,2025-08-29,June,6,245954,221776,2,13
P0336,Project_336,North,Industrial,Construction,Completed,Safety,Skyline Co,2025-10-28,2026-01-21,October,10,905819,865616,2,3
P0337,Project_337,West,Industrial,Construction,Pending,Safety,UrbanCon,2025-12-29,2026-07-20,December,12,1654501,1921471,5,4
P0338,Project_338,South,Commercial,Construction,Pending,Procurement,MegaConstruct,2025-03-07,2025-06-20,March,3,1728469,1470286,6,14
P0339,Project_339,North,Residential,Finishing,In Progress,Procurement,SafeBuild,2025-11-24,2026-06-16,November,11,418334,492730,2,6
P0340,Project_340,North,Residential,Construction,In Progress,Engineering,BuildCorp,2025-12-29,2026-08-17,December,12,1540295,1702411,5,8
P0341,Project_341,North,Commercial,Design,Completed,Procurement,BuildCorp,2025-06-29,2025-11-01,June,6,1850500,1642896,0,1
P0342,Project_342,West,Commercial,Finishing,In Progress,Engineering,Skyline Co,2025-09-10,2026-06-22,September,9,994217,967304,6,2
P0343,Project_343,West,Industrial,Finishing,Pending,Engineering,UrbanCon,2025-08-20,2025-11-06,August,8,1876032,2149964,4,1
P0344,Project_344,East,Commercial,Design,Completed,Safety,UrbanCon,2025-07-12,2025-10-21,July,7,1735083,1520367,1,6
P0345,Project_345,West,Industrial,Design,In Progress,Procurement,UrbanCon,2025-11-07,2026-08-21,November,11,1110584,1005063,1,6
P0346,Project_346,South,Residential,Construction,Pending,Procurement,BlueRock,2025-05-16,2025-12-31,May,5,790396,754109,1,1
P0347,Project_347,West,Industrial,Finishing,In Progress,Engineering,ABC Ltd,2025-07-04,2025-09-02,July,7,1096754,965878,7,4
P0348,Project_348,North,Residential,Design,Completed,Procurement,MegaConstruct,2025-02-11,2025-08-11,February,2,1969512,1753708,6,8
P0349,Project_349,West,Industrial,Construction,Completed,Procurement,BlueRock,2025-07-18,2025-11-02,July,7,978086,1134503,5,3
P0350,Project_350,West,Residential,Construction,In Progress,Safety,MegaConstruct,2025-04-26,2026-01-25,April,4,763215,799457,2,13
P0351,Project_351,North,Residential,Finishing,In Progress,Procurement,Skyline Co,2025-10-29,2026-02-24,October,10,1360987,1185888,6,14
P0352,Project_352,West,Industrial,Finishing,In Progress,Procurement,SafeBuild,2025-09-01,2026-01-15,September,9,365580,361259,0,9
P0353,Project_353,South,Residential,Construction,Completed,Engineering,SafeBuild,2025-04-09,2025-07-10,April,4,289497,288970,6,4
P0354,Project_354,South,Industrial,Construction,In Progress,Procurement,BuildCorp,2025-02-14,2025-07-23,February,2,1366780,1351846,5,14
P0355,Project_355,East,Industrial,Construction,Completed,Procurement,NextGen Infra,2025-10-28,2026-05-09,October,10,1839313,1833533,6,3
P0356,Project_356,South,Industrial,Finishing,Pending,Engineering,BuildCorp,2025-10-16,2026-07-02,October,10,411792,463270,8,15
P0357,Project_357,East,Commercial,Construction,In Progress,Procurement,Titan Builders,2025-10-20,2026-05-23,October,10,1192050,1028873,4,7
P0358,Project_358,South,Industrial,Finishing,Pending,Procurement,Skyline Co,2025-01-20,2025-06-30,January,1,895193,977264,0,12
P0359,Project_359,West,Commercial,Construction,Completed,Safety,MegaConstruct,2025-06-09,2025-10-18,June,6,1967577,2010994,1,14
P0360,Project_360,South,Residential,Construction,Pending,Safety,PrimeBuild,2025-05-18,2026-01-19,May,5,1074035,1140348,1,4
P0361,Project_361,West,Residential,Construction,Pending,Safety,BlueRock,2025-07-11,2026-04-07,July,7,317872,327517,2,2
P0362,Project_362,East,Industrial,Finishing,In Progress,Engineering,BlueRock,2025-10-19,2025-12-25,October,10,564353,517775,3,14
P0363,Project_363,North,Residential,Design,In Progress,Engineering,PrimeBuild,2025-12-27,2026-04-16,December,12,774572,758246,7,9
P0364,Project_364,West,Industrial,Design,Pending,Engineering,SafeBuild,2025-07-10,2026-01-11,July,7,1445799,1454670,7,10
P0365,Project_365,East,Commercial,Design,In Progress,Procurement,BuildCorp,2025-05-26,2025-08-01,May,5,1010686,876646,3,14
P0366,Project_366,South,Industrial,Design,Pending,Engineering,MegaConstruct,2025-11-30,2026-05-13,November,11,1276428,1093922,0,8
P0367,Project_367,South,Industrial,Design,Pending,Engineering,SafeBuild,2025-05-10,2025-12-11,May,5,1888386,2228393,4,7
P0368,Project_368,West,Commercial,Construction,In Progress,Engineering,Titan Builders,2025-06-04,2026-01-23,June,6,1291856,1470789,6,10
P0369,Project_369,North,Residential,Finishing,Pending,Safety,BlueRock,2025-11-28,2026-06-28,November,11,1477270,1401836,1,8
P0370,Project_370,North,Commercial,Construction,Pending,Safety,MegaConstruct,2025-05-14,2025-12-27,May,5,1691271,2001223,4,4
P0371,Project_371,South,Industrial,Design,Completed,Procurement,Skyline Co,2025-12-05,2026-04-25,December,12,1627648,1463215,0,11
P0372,Project_372,West,Commercial,Construction,In Progress,Safety,Skyline Co,2025-01-19,2025-08-16,January,1,1684928,2018819,3,6
P0373,Project_373,South,Industrial,Finishing,Pending,Safety,PrimeBuild,2025-09-17,2026-01-31,September,9,1972972,1794408,8,3
P0374,Project_374,East,Residential,Construction,Completed,Procurement,MegaConstruct,2025-10-14,2026-06-26,October,10,583922,689858,5,11
P0375,Project_375,North,Residential,Construction,Completed,Procurement,MegaConstruct,2025-08-04,2026-04-22,August,8,894822,877005,4,8
P0376,Project_376,North,Commercial,Design,Pending,Procurement,NextGen Infra,2025-11-14,2026-01-31,November,11,1190316,1382312,8,2
P0377,Project_377,West,Industrial,Construction,In Progress,Engineering,UrbanCon,2025-03-12,2025-07-01,March,3,918630,912399,7,3
P0378,Project_378,East,Industrial,Design,Completed,Safety,PrimeBuild,2025-11-20,2026-03-05,November,11,857276,919063,0,8
P0379,Project_379,East,Residential,Design,Pending,Engineering,Titan Builders,2025-02-15,2025-05-19,February,2,1488657,1491335,6,7
P0380,Project_380,West,Commercial,Construction,Completed,Engineering,BlueRock,2025-04-13,2025-12-16,April,4,982450,1161770,5,13
P0381,Project_381,South,Residential,Finishing,Completed,Procurement,SafeBuild,2025-04-26,2025-12-19,April,4,922153,884558,1,7
P0382,Project_382,East,Residential,Design,Completed,Safety,MegaConstruct,2025-08-22,2026-04-25,August,8,1291123,1366949,5,7
P0383,Project_383,South,Commercial,Construction,In Progress,Engineering,UrbanCon,2025-07-26,2025-09-28,July,7,679027,630485,2,4
P0384,Project_384,North,Industrial,Finishing,Completed,Engineering,PrimeBuild,2025-12-31,2026-08-14,December,12,1861211,1606368,4,13
P0385,Project_385,North,Industrial,Design,Pending,Engineering,ABC Ltd,2025-01-25,2025-09-18,January,1,442828,440999,6,2
P0386,Project_386,East,Commercial,Finishing,Completed,Engineering,ABC Ltd,2025-06-04,2025-11-18,June,6,1587611,1405580,8,5
P0387,Project_387,South,Commercial,Design,Pending,Procurement,NextGen Infra,2025-03-02,2025-07-12,March,3,439101,493841,7,4
P0388,Project_388,South,Commercial,Finishing,Completed,Safety,Skyline Co,2025-06-01,2025-09-10,June,6,282639,294467,3,12
P0389,Project_389,West,Commercial,Design,Completed,Engineering,BuildCorp,2025-02-26,2025-11-26,February,2,1404085,1522249,2,2
P0390,Project_390,North,Industrial,Finishing,Completed,Safety,SafeBuild,2025-08-22,2026-01-04,August,8,753910,763331,1,14
P0391,Project_391,South,Residential,Construction,In Progress,Procurement,PrimeBuild,2025-08-07,2026-04-13,August,8,443062,391334,0,1
P0392,Project_392,South,Industrial,Finishing,Completed,Safety,PrimeBuild,2025-08-13,2026-03-20,August,8,762685,882782,1,6
P0393,Project_393,East,Residential,Design,In Progress,Safety,Titan Builders,2025-05-20,2026-02-17,May,5,1008904,1101184,7,13
P0394,Project_394,West,Industrial,Design,Completed,Engineering,ABC Ltd,2025-03-23,2025-06-17,March,3,1072473,1253645,7,13
P0395,Project_395,West,Residential,Finishing,In Progress,Safety,NextGen Infra,2025-01-15,2025-10-22,January,1,1635425,1893793,2,8
P0396,Project_396,West,Residential,Construction,In Progress,Engineering,BuildCorp,2025-05-14,2025-12-27,May,5,859004,733869,8,13
P0397,Project_397,South,Industrial,Construction,Pending,Procurement,NextGen Infra,2025-02-18,2025-08-07,February,2,1587713,1753356,7,6
P0398,Project_398,West,Residential,Finishing,Pending,Engineering,ABC Ltd,2025-11-26,2026-09-21,November,11,529100,543358,7,14
P0399,Project_399,West,Residential,Design,In Progress,Safety,SafeBuild,2025-06-19,2025-10-28,June,6,305593,313973,8,11
P0400,Project_400,West,Commercial,Design,Completed,Safety,Titan Builders,2025-10-21,2026-04-13,October,10,384591,442205,7,6
P0401,Project_401,North,Commercial,Finishing,Pending,Engineering,BuildCorp,2025-07-26,2026-01-07,July,7,275145,287525,0,14
P0402,Project_402,North,Industrial,Finishing,Pending,Safety,BlueRock,2025-10-15,2026-02-04,October,10,1572787,1706499,5,6
P0403,Project_403,North,Residential,Construction,In Progress,Procurement,NextGen Infra,2025-11-04,2026-05-04,November,11,1702940,1839189,7,2
P0404,Project_404,North,Industrial,Design,Completed,Safety,PrimeBuild,2025-11-21,2026-08-12,November,11,812333,846200,5,12
P0405,Project_405,North,Residential,Design,In Progress,Engineering,Skyline Co,2025-02-24,2025-06-29,February,2,1481049,1360450,1,15
P0406,Project_406,West,Residential,Construction,Completed,Procurement,PrimeBuild,2025-02-25,2025-11-05,February,2,1069207,926227,1,13
P0407,Project_407,West,Commercial,Finishing,Pending,Procurement,UrbanCon,2025-09-13,2025-11-13,September,9,1312254,1453550,8,15
P0408,Project_408,West,Industrial,Construction,Pending,Engineering,NextGen Infra,2025-03-30,2025-12-02,March,3,1909690,1709045,6,11
P0409,Project_409,East,Industrial,Construction,In Progress,Procurement,SafeBuild,2025-05-21,2025-10-29,May,5,919027,1093340,7,13
P0410,Project_410,South,Residential,Construction,Pending,Procurement,BlueRock,2025-06-03,2026-03-05,June,6,1671140,1740880,5,12
P0411,Project_411,South,Residential,Design,Pending,Procurement,MegaConstruct,2025-12-18,2026-05-15,December,12,1610069,1443322,2,9
P0412,Project_412,East,Industrial,Design,In Progress,Procurement,Titan Builders,2025-10-26,2026-05-20,October,10,1599130,1756713,8,5
P0413,Project_413,West,Residential,Finishing,Completed,Engineering,Skyline Co,2025-03-16,2025-05-28,March,3,1605624,1396590,4,13
P0414,Project_414,South,Commercial,Finishing,In Progress,Engineering,ABC Ltd,2025-12-20,2026-09-06,December,12,818954,754584,8,1
P0415,Project_415,East,Commercial,Design,Pending,Procurement,BlueRock,2025-04-25,2025-12-31,April,4,1557107,1629426,3,9
P0416,Project_416,East,Industrial,Finishing,Completed,Safety,Skyline Co,2025-08-02,2026-04-20,August,8,1636861,1570451,8,1
P0417,Project_417,North,Industrial,Construction,Completed,Procurement,Titan Builders,2025-04-26,2026-02-13,April,4,1529150,1676896,5,13
P0418,Project_418,South,Industrial,Design,In Progress,Safety,UrbanCon,2025-12-16,2026-03-05,December,12,592118,702764,8,2
P0419,Project_419,West,Residential,Construction,In Progress,Procurement,MegaConstruct,2025-03-08,2025-06-17,March,3,1424707,1632863,0,6
P0420,Project_420,West,Industrial,Design,Completed,Engineering,PrimeBuild,2025-11-02,2026-01-14,November,11,1822484,2143849,4,8
P0421,Project_421,East,Residential,Finishing,In Progress,Procurement,SafeBuild,2025-04-05,2025-10-15,April,4,342976,385913,2,7
P0422,Project_422,West,Residential,Construction,Completed,Engineering,PrimeBuild,2025-06-19,2025-11-18,June,6,815670,755682,8,8
P0423,Project_423,North,Residential,Finishing,In Progress,Safety,SafeBuild,2025-11-25,2026-06-30,November,11,1502607,1405447,0,11
P0424,Project_424,East,Commercial,Design,In Progress,Safety,BlueRock,2025-05-25,2025-07-30,May,5,1283950,1460798,5,9
P0425,Project_425,West,Commercial,Design,In Progress,Procurement,SafeBuild,2025-06-14,2025-12-22,June,6,372690,440472,2,13
P0426,Project_426,North,Industrial,Design,Completed,Procurement,SafeBuild,2025-12-17,2026-06-03,December,12,1952516,1730660,8,14
